title,rankings,url,ratings,price
Deep Work: Rules for Focused Success in a Distracted World,#90,https://www.amazon.in/Deep-Work-Focused-Success-Distracted/dp/0349413681?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 366.00
Bhagavad Gita Original in English - Bhagavad Gita as It is Original in English,#91,https://www.amazon.in/Bhagavad-Gita-Original-English-As/dp/B07MDTX8BR?_encoding=UTF8&psc=1,4.8 out of 5 stars,₹ 197.00
Cracking the Coding Interview (Indian Edition),#92,https://www.amazon.in/Cracking-the-Coding-Interview/dp/0984782869?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 500.00
World Map,#93,https://www.amazon.in/World-Map-Dreamland-Publications/dp/8184511213?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 86.00
Devsatya Paperset For Std 10 ( Gujarati Medium ) Board Examination 2021 (30% Reduced Syllabus),#94,https://www.amazon.in/Devsatya-Paper-March-Board-Examination/dp/B07FTT682R?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 349.00
Current Affairs Yearly 2021,#95,https://www.amazon.in/Current-Affairs-Yearly-Arihant-Experts/dp/9325294192?_encoding=UTF8&psc=1,3.3 out of 5 stars,₹ 106.00
Diary of a Wimpy Kid: The Deep End (Book 15),#96,https://www.amazon.in/Diary-Wimpy-Kid-Deep-Book/dp/0241424143?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 375.00
Lucent's Samanya Gyan (Hindi),#97,https://www.amazon.in/Lucents-Samanya-Gyan-Lucent/dp/9384761583?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 135.00
1001 Activities Book,#98,https://www.amazon.in/1001-Activities-Book-Dreamland-Publications/dp/9350897245?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 279.00
India's Struggle for Independence: 1857-1947,#99,https://www.amazon.in/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 291.00
B D Chaurasia's Human Anatomy 4 Volume Set ( Vol.1 to Vol 4),#100,https://www.amazon.in/Chaurasias-Human-Anatomy-Set-Vol-1/dp/B07TH9BRZQ?_encoding=UTF8&psc=1,4.6 out of 5 stars,"₹ 1,664.00"
